cluster_8,count,n1,n2,n3,n4,n5,grayscale
3,16923,6.96,5.0,9.36,17.71,5.92,0.59
5,13295,6.96,4.96,9.58,17.7,5.92,0.57
2,25637,6.94,4.99,9.4,17.67,5.89,0.59
0,29717,6.93,5.03,9.3,17.66,5.85,0.6
6,23960,6.91,5.04,9.12,17.4,5.81,0.61
1,24099,6.8,5.13,9.2,17.76,5.64,0.6
4,9796,6.79,5.16,9.26,17.8,5.58,0.59
7,6520,6.66,5.2,9.1,17.11,5.28,0.64
