cluster_50,Vicinal/Mixed,{100},{110},{111},{210},{211},{221},{310},{311},{320},{321},{322},{331},{332},{410},{411},{421},{430},{431},{432},{433},{441},{510},{511},{521},{522},{530},{531},{711},Всего в кластере
18,0,0,0,0,0,956,0,0,310,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,1094,0,0,0,2382
19,0,0,0,0,0,552,2,0,0,0,0,1399,0,0,0,0,0,0,0,1016,26,0,0,0,0,0,0,0,0,2995
20,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,2172,2252
21,0,0,15,0,607,0,0,2426,0,0,0,0,0,0,1505,0,0,0,0,0,0,0,1391,0,0,0,0,0,0,5944
22,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,2172
23,4,0,0,0,287,10,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,27,0,0,1555,0,2542
24,6,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,2426,0,0,0,0,0,0,0,3301
25,139,0,0,0,0,0,0,291,0,0,0,0,0,0,1695,0,0,0,0,2,0,0,1212,419,10,0,0,0,662,4430
26,0,0,3,0,923,0,0,0,0,877,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,1048,0,0,4133
27,213,0,0,0,0,0,62,164,0,0,0,0,2,0,0,68,0,0,0,0,0,0,0,171,1703,0,0,0,0,2383
28,0,0,0,1,0,0,18,0,0,0,0,165,0,2022,0,0,0,0,0,262,607,0,0,0,0,0,0,0,0,3075
29,0,0,0,0,0,0,0,0,0,0,0,204,0,1005,0,0,0,0,0,1118,268,0,0,0,0,0,0,0,0,2595
30,0,0,0,29,0,0,298,0,0,0,0,0,4,112,0,0,0,0,0,1677,20,0,0,0,0,0,0,0,0,2140
31,0,0,0,0,0,2,0,0,0,0,487,0,0,0,0,0,1963,0,0,2,0,0,0,0,286,0,0,227,0,2967
32,0,0,0,0,0,21,0,0,0,329,59,0,0,0,0,0,449,228,1489,0,0,19,0,0,0,0,105,2128,0,4827
33,0,0,0,0,0,501,2,0,136,0,0,0,0,0,0,0,1221,0,0,5,0,0,0,0,1962,894,0,0,0,4721
34,0,0,0,0,0,0,31,0,0,0,726,0,0,0,0,0,8,0,0,1889,0,0,0,0,0,0,0,0,0,2654
35,88,0,0,0,984,0,0,2918,0,0,0,0,0,0,292,0,0,0,0,0,0,0,14,7,588,0,0,0,0,4891
36,0,0,0,0,0,0,106,0,0,0,1873,0,111,0,0,0,0,0,887,0,0,0,0,0,0,0,0,296,0,3273
37,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847,0,0,0,0,0,248,2154
38,0,0,0,0,0,464,0,0,0,0,0,984,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1548
39,31,0,65,0,14,0,0,0,0,393,0,0,0,0,0,0,0,1527,120,0,0,0,0,0,0,0,150,378,0,2678
40,0,0,0,0,862,3,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,6,0,1875
41,0,0,0,0,0,2,0,0,2264,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,722,286,0,0,0,4085
42,0,0,0,39,0,426,0,0,76,0,0,344,0,0,0,0,0,0,0,0,556,0,0,0,0,278,0,0,0,1719
43,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,1481,24,0,0,0,0,3283
44,0,0,0,0,0,536,0,0,0,0,0,300,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,1238
45,0,0,182,0,761,0,0,0,0,458,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,603,0,0,2867
46,0,0,0,55,0,0,3,0,0,0,0,413,0,493,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1864
47,26,0,0,0,0,0,0,4,19,0,0,0,0,0,0,663,0,0,0,0,0,0,0,414,1939,0,0,0,0,3065
48,0,0,0,0,18,122,0,0,90,0,429,0,0,0,0,0,803,0,78,14,0,0,0,0,96,150,0,0,0,1800
49,0,0,33,0,0,428,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,1299
