cluster_50,Vicinal/Mixed,{100},{110},{111},{210},{211},{221},{310},{311},{320},{321},{322},{331},{332},{410},{411},{421},{430},{431},{432},{433},{441},{510},{511},{521},{522},{530},{531},{711},Всего в кластере
0,0,0,156,0,0,138,346,0,3,0,146,0,1155,0,0,15,0,0,108,858,0,1084,0,0,12,4,0,0,0,4025
1,0,0,160,0,538,0,0,54,0,266,0,0,0,0,0,0,0,516,0,0,0,4,0,0,0,0,348,0,0,1886
2,2,0,0,0,750,0,2,19,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,2280,4,19,535,0,3777
3,0,0,0,28,0,0,7,0,0,0,0,24,0,52,0,0,548,0,0,0,1324,0,0,0,88,0,0,54,0,2125
4,14,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,184,4075
5,0,0,0,916,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,2318
6,0,0,789,0,0,49,251,0,0,0,15,0,2234,0,0,0,0,131,2406,0,0,855,0,0,0,4,0,0,0,6734
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1591,0,0,0,0,2596,4194
8,0,0,0,0,0,154,0,0,0,0,138,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,1542
9,0,0,0,0,0,0,525,0,0,0,0,0,0,1563,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,2292
10,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,1168,0,192,0,0,0,0,0,104,0,0,729,0,2936
11,0,0,0,0,0,63,3096,0,0,0,700,0,46,3,0,0,0,0,459,587,0,0,0,0,0,6,0,26,0,4986
12,0,0,0,0,0,1054,0,0,614,0,0,17,0,0,0,547,0,0,0,0,0,0,0,55,0,812,0,0,0,3099
13,0,0,251,0,0,386,109,0,0,0,2352,0,281,0,0,0,516,122,1056,74,0,81,0,4,10,9,0,8,0,5259
14,0,0,0,32,0,380,0,0,60,0,0,380,0,0,0,0,0,0,0,0,390,0,0,0,0,198,0,0,0,1440
15,263,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,644,0,0,562,0,0,0,0,0,0,0,1901
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,6,0,0,0,0,0,297,0,0,1762,0,2279
17,0,0,1900,0,0,0,19,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1927
