query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
72271,17,{110},0.9,1.0,0.9913857698440551
98351,37,{510},0.8,1.0,0.9889311254024505
118779,8,{432},0.8,1.0,0.9790616273880005
108236,28,{433},1.0,1.0,0.9959762036800385
30692,30,{221},1.0,1.0,0.9828578174114228
93122,45,{210},1.0,0.6,0.9778144598007202
80051,25,{711},1.0,0.4,0.995704960823059
143719,6,{331},1.0,1.0,0.98752201795578
75687,12,{522},0.5,1.0,0.9651700913906097
94044,7,{711},1.0,1.0,0.9918570935726165
128094,14,{322},1.0,1.0,0.9988791763782501
135064,2,{521},1.0,1.0,0.9970126628875733
133841,28,{332},1.0,1.0,0.9885480165481567
140091,36,{321},1.0,1.0,0.9921950817108154
7384,5,{111},1.0,0.7,0.9845657050609589
27904,20,{711},1.0,1.0,0.9928172469139099
58295,6,{441},1.0,1.0,0.9886821448802948
27132,25,{410},1.0,0.8,0.9965597510337829
139036,3,{421},1.0,1.0,0.9944130301475524
130653,38,{211},1.0,1.0,0.9895932018756867
88236,40,{210},1.0,1.0,0.9878451883792877
133876,35,{310},1.0,1.0,0.996078473329544
16065,37,{510},0.7,1.0,0.9900101840496063
83138,13,{110},1.0,0.9,0.9917394697666169
116369,10,{421},1.0,1.0,0.9897363960742951
116182,34,{432},1.0,0.9,0.9820619761943817
111993,28,{332},1.0,0.5,0.9960352957248688
121255,22,{111},1.0,1.0,0.9908243715763092
55575,49,{522},1.0,1.0,0.9856791913509368
124015,18,{211},1.0,1.0,0.9903618454933166
118262,29,{432},1.0,1.0,0.9833702206611633
5376,46,{433},1.0,1.0,0.9905128598213195
49047,39,{531},0.6,1.0,0.993535327911377
32744,21,{410},1.0,1.0,0.9964596569538117
15331,5,{111},1.0,0.9,0.9836224257946015
136966,9,{332},1.0,1.0,0.9922233998775483
34048,25,{711},1.0,0.8,0.9972416996955872
142911,11,{431},0.9,1.0,0.9941243410110474
73240,41,{521},1.0,0.9,0.9819927632808685
55341,26,{210},1.0,1.0,0.9792524874210358
136889,34,{432},1.0,1.0,0.9787512004375458
133210,35,{310},1.0,1.0,0.9974290311336518
54136,36,{321},1.0,1.0,0.9815338313579559
23286,2,{521},0.6,1.0,0.9919902503490448
27987,36,{431},1.0,0.9,0.9952656745910644
54488,2,{521},1.0,1.0,0.9930585145950317
20735,33,{421},1.0,1.0,0.9827540576457977
113497,20,{711},1.0,1.0,0.9946821212768555
7304,43,{511},1.0,1.0,0.9724941730499268
148543,17,{110},1.0,1.0,0.9814239084720612
53392,26,{320},1.0,0.6,0.9938598155975342
38394,7,{711},1.0,0.9,0.9940744459629058
75364,39,{430},1.0,1.0,0.9778773128986359
53644,27,{521},0.8,1.0,0.9936613261699676
104882,11,{221},1.0,1.0,0.9929472744464874
5195,17,{110},1.0,1.0,0.9884974539279938
125299,21,{410},1.0,0.8,0.9960677564144135
121413,48,{421},1.0,0.4,0.9745432376861572
64708,41,{311},0.8,1.0,0.9887030780315399
105439,11,{221},0.4,1.0,0.9586122810840607
49098,39,{531},0.6,1.0,0.994133996963501
42906,32,{431},1.0,1.0,0.9960186064243317
85753,26,{530},1.0,0.6,0.9950095415115356
139327,1,{210},0.9,1.0,0.9838341355323792
86058,12,{211},1.0,1.0,0.981358015537262
55104,2,{210},1.0,1.0,0.9910050451755523
119990,25,{510},1.0,0.8,0.9949034571647644
130430,27,{521},1.0,1.0,0.9902281165122986
147883,15,{441},1.0,1.0,0.9850460648536682
2174,46,{322},1.0,0.9,0.9891054451465606
32155,38,{322},1.0,1.0,0.9939067721366882
26421,27,{521},1.0,1.0,0.9926911234855652
85891,13,{321},1.0,1.0,0.9948255300521851
57825,26,{210},0.6,1.0,0.9896984875202179
13111,2,{221},0.1,1.0,0.9755739331245422
48002,21,{210},1.0,1.0,0.9897091567516327
98478,6,{431},1.0,1.0,0.9954808712005615
80464,13,{421},1.0,0.7,0.994428813457489
126605,21,{410},1.0,0.9,0.9956707119941711
141610,36,{321},0.9,0.1,0.9752333641052247
146010,26,{530},1.0,1.0,0.99100301861763
122440,43,{411},1.0,0.9,0.984969961643219
39615,18,{211},0.9,1.0,0.9887511909008027
15170,0,{211},0.9,1.0,0.9746020197868347
14676,43,{411},1.0,1.0,0.9826425611972809
112791,3,{433},0.3,1.0,0.9909486055374146
87919,7,{711},1.0,1.0,0.9925865769386292
3645,7,{711},1.0,1.0,0.9931415259838104
77957,16,{531},1.0,0.5,0.9921143829822541
137306,21,{210},1.0,0.6,0.9946626245975494
