model,P@10_miller (split=0.0°),P@10_miller (split=12.0°)
flatten,"0.8010 [0.7940, 0.8076]","0.4341 [0.4231, 0.4455]"
simclr,"0.9104 [0.9051, 0.9154]","0.8920 [0.8865, 0.8978]"
