metric,mean,ci_lo (95%),ci_hi (95%),ci_half_width,n_queries
cluster_coherence@10,0.9499,0.9461,0.9538,0.0039,5000
precision@10_miller,0.892,0.8865,0.8978,0.0057,5000
mean_similarity@10,0.9841,0.9837,0.9845,0.0004,5000
